Real,Error,Count
دّ,ذ,3
د,ذ,7
د,ز,1
د,ب,1
د,ي,1
د,ل,1
ي,ى,14
ى,ئ,1
ي,ب,7
ي,ن,1
ت,ن,1
ت,ث,2
ب,ي,3
ب,ت,1
ب,ي,1
ب,ئ,1
حِ,ج,5
عُ,غ,2
ع,غ,2
غ,ع,3
غ,ق,1
ف,ق,8
ف,ن,1
خِ,ج,2
عل,ط,3
ضُ,ب,1
ن,ت,5
ن,ث,3
ن,ئ,1
ن,ب,1
س,نش,1
س,ب,3
س,ت,1
س,ن,2
س,سن,1
س,ر,1
سُ,م,1
س,سى,1
س,ي,1
س,ش,1
سّ,ت,1
أ,ا,19
أ,|,6
أ,/,2
أ,٦,1
آ,ا,4
آ,أ,3
أ,آ,1
أ,i,29
أ,ذ,1
أ,1,8
أ,١,2
أ,[,1
ئ,ث,6
ئ,ى,10
ئ,ن,1
و,ى,2
و,ي,2
حس,ج,1
ة,ه,1
ة,ج,1
ظ,ا,1
ظ,ل,2
ا,أ,4
ا,اً,3
ا,إ,1
ا,ل,1
سف,ج,1
ر,ز,11
ح,م,2
ح,ع,4
ؤ,و,1
ؤ,ذ,2
ر,ل,1
ش,ت,1
ش,ث,1
ص,ض,11
ح,c,1
ح,ج,6
ض,ص,1
ح,خ,4
خ,ح,1
ز,ذ,1
ز,ن,1
ط,ض,1
م,ف,1
ؤ,ف,2
ة,ش,1